File                                                                                                    Result  libvata         Limi
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1039 false   0.110945        0.010
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1040 true    0.346993        0.080
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1041 false   0.173916        0.006
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1042 true    0.43536 0.075
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1043 false   0.16176 0.004
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1044 true    0.323636        0.069
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1045 false   0.103479        0.012
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1046 true    0.343549        0.070
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1047 false   0.166689        0.006
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1048 true    0.332846        0.069
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1049 false   0.12654 0.004
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1050 true    0.356102        0.071
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1051 false   0.108951        0.011
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1052 true    0.374284        0.069
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1053 false   0.164648        0.006
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1054 true    0.394845        0.068
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1055 false   0.120066        0.004
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1056 true    0.332437        0.072
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1057 false   0.122531        0.010
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1058 true    0.408918        0.079
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1059 false   0.177335        0.005
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1060 true    0.344135        0.069
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1061 false   0.154513        0.004
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1062 true    0.360201        0.071
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1063 false   0.134452        0.010
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1064 true    0.353711        0.071
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1065 false   0.180721        0.006
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1066 true    0.367296        0.070
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1067 false   0.134714        0.003
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1068 true    0.351563        0.069
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1069 false   0.116872        0.009
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1070 true    0.357285        0.071
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1071 false   0.177736        0.005
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1072 true    0.3478  0.069
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1073 false   0.129378        0.003
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1074 true    0.408266        0.068
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1075 false   0.139811        0.010
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1076 true    0.348999        0.068
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1077 false   0.189666        0.005
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1078 true    0.404126        0.084
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1079 false   0.140033        0.004
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1080 true    0.350406        0.069
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1081 false   0.154031        0.011
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1082 true    0.355195        0.073
/mnt/work/Documents/hknt-1.0/ARMCautomata//Bakery4pBinEnc-FbOneOne-Nondet-Partial/armcNFA_inclTest_1083 false   0.221375        0.005
